key,offset,text,raw_hex,raw_bytes,category
bio_102073,0x102073,但終不是袁紹對手而敗北身亡,b3a672a742af5ea141aa65a55faababba8b1daa143a6adb4c1a759bb50bc42b3c6bcf4c3d1a141bc42b3c6a5e7b4bfa5f4a8e4b3a1b14ea143abe1a8d3b6d5a44fb376baa5c258a46aa141a6d3bb50b04bb2d0b9efa5dfa141a6fdb2d7a4a3ac4fb04bb2d0b9efa4e2a6d3b1d1a55fa8ada460a143,117,bio
bio_1020E9,0x1020E9,狹馬騰,71af55b0a8c4cb,7,bio
bio_1020F1,0x1020F1,但因玄德離去和西涼邊境亂事,a3ac4fa672b9d8a6a8a141b0a8b657aabaa4f7bfcba143b4bfa5f4a6e8b244a4d3a675a141b9efba7eb4c2a440aabdac4fa9bea4dfa4a3a447a143a54cb4bfa662b8b3a8f4a6baabe1a141bb50c1fab376c170a4e2a7f0a5b4a7f5d852a142b3a2a5c6a143abe1a8d3a453b1b5a8fcb8b3a9d3b14bb640a141b1fdc170a658bc42b3c6a558a74ca141b3f2b6cfb1e4bedea143a6fda65da5c8bc77c2f7a568a94da6e8b244c3e4b9d2b6c3a8c6a141a4a3b16fa477a6d3a740bd7da143abe1a8d3bb50b6c0a663b14bbfd1b774b1feb1e4bedea141a4a3a9afa8c6b8f1b1d1c553a141bb50a46cb0a8a5f0a94db0a8c54ba650aec9e266a952a143,251,bio
bio_1021ED,0x1021ED,董角,b8b3a8a442a95e,7,bio
bio_1021F8,0x1021F8,但後來即為其智慧和謀略而折服,b8beb0eaa657b14ea141b7edb8beb0eaa7f0a764b1fdb3f8c3f6a6d0a4a7a4b3aec9a141b9efa9f3a67ebbb4aabab3b0bbb9ab44b160c2e4b5f8a141a6fdabe1a8d3a759acb0a8e4b4bcbc7aa94dbfd1b2a4a6d3a7e9aa41a143,90,bio
bio_102259,0x102259,在與關羽作戰時兵敗投降,43abe1a672a4e5ab68a141b1e4bedeb3a1b14ea143a662b1e4bedeb9efb04bb2d0a740bed4aec9a141a5dfa455a4a3a4d6a55cb3d2a143a662bb50c3f6a6d0a740bed4aec9a74cb1d1a7ebadb0a143,79,bio
bio_1022AC,0x1022AC,王朗,a4fdaed4,4,bio
bio_1022B1,0x1022B1,後得到曹操的重視而轉投其帳下,57b14eb77cbd5da4d3a675a141be44a8fcae5db5a6a7f0c0bbaec9a5a2b1d1a143abe1b16fa8ecb1e4bedeaabaadabb5f8a6d3c2e0a7eba8e4b162a455a143,63,bio
bio_1022F9,0x1022F9,力諫馬要將軍隊駐紮於當道,4dbfd1a672a46ca7a1a141adeca8d3a662ba7ea4a4a141ac4fae7daeccaabaa4e2a455a141abe1a8d3a55ba44abc42b3c6aabab07dc0e7a143a5d1a9f3a8fca8ecbdd1b8afab47aababeb9adaba141a6d3bb50b0a8eea2a650a675b5f3ab46a143a44fbfcfb0a8ad6eb14ead78b6a4be6eb2cfa9f3b7edb944a141a4a3b351b1b5afc7b2d7a9f3b1d1b07da143,141,bio
bio_10238D,0x10238D,終於使呂布殺掉董卓,abe1b1ba7ea571ae7ba141a751a5ceb5b4a6e2acfca46bb649bc60a141a8cfb373c0f4ad70a141c2f7b6a1a766a5aca94db8b3a8f4a141b2d7a9f3a8cfa766a5acb1feb1bcb8b3a8f4a143,75,bio
