key,text,encoded_hex,cell_count,missing
bio_102073,Nhung cuoi cung khong phai doi thu cua Vien Thieu nen thua tran va chet,A6A3A48DA48AA5A1A6BFA4BFA79FA488A85FA794A669A7A1A7D7A84EA457,15,
bio_1020E9,[loi extract],5BA5D9A4D85D,2,
bio_1020F1,Nhung vi Luu Bi roi di va loan su o bien gioi Tay Luong,A6A3A85BA5E9A3DEA6F0A4AFA84EA5D6A756A6B6A3E2A4F2A76FA5E7,14,
bio_1021ED,Dong Trac,A4C2A7D1,2,
bio_1021F8,Nhung sau do bi su thong minh va muu luoc cua ong lam say me,A6A3A744A4BBA3DFA756A79DA64AA84EA65DA5E5A488A6BBA5B8A746A643,15,
bio_102259,Khi giao chien voi Quan Vu thi thua tran dau hang,A590A4EDA45EA866A6DCA86BA78FA7A1A7D7A4A6A546,11,
bio_1022AC,Vuong Lang,A870A5BB,2,
bio_1022B1,Sau duoc Tao Thao trong dung roi chuyen sang phuc vu ong,A743A4D0A768A783A7EAA4CEA6F0A47EA6FDA6D4A86CA6BB,12,
bio_1022F9,Kien quyet khuyen Ma Ung phai dong quan o vi tri chan duong,A5A8A6E8A5A5A5EFA844A6BFA4C3A6DDA6B6A85BA7E0A44DA4D3,13,
bio_10238D,Cuoi cung khien Lu Bo giet Dong Trac,A48CA48AA595A5DDA3EAA4F0A4C2A7D1,8,
bio_1023E1,Tung dua ra loi khuyen dung dan cho Quan Vu,A7FCA4C8A6EBA5D9A5A5A4CEA49CA467A6DCA86B,10,
bio_102457,[loi extract],5BA5D9A4D85D,2,
bio_10245D,Khi Tao Thao nam xuong thi dau hang phuc vu ong,A590A768A783A660A88DA78FA4A6A546A6D4A86CA6BB,11,
bio_1024A9,Cung Nhan Luong la mot trong nhung tuong hung manh tieng tam,A489A692A5E7A5B2A654A7EAA6A4A7FEA573A5F9A7B7A763,12,
bio_1024F5,[loi extract],5BA5D9A4D85D,2,
bio_1024FD,Tao Thao trung ke giet Thai Muu va Truong Van,A768A783A7F0A582A4F0A778A65CA84EA7F2A850,10,
bio_10255E,[loi extract],5BA5D9A4D85D,2,
bio_102565,Sau bi Vien Dam tan cong roi dau hang Tao Thao,A743A3DFA85FA499A765A484A6F0A4A6A546A768A783,11,
bio_1025D9,Cung Tao Hong va Tao Nhan giu quan Ngo,A489A768A569A84EA768A692A4F4A6DDA67A,9,
bio_10262B,[loi extract],5BA5D9A4D85D,2,
bio_102633,Cuoi cung ket thuc thoi loan lac Tam Quoc,A48CA48AA584A7A6A79BA5D6A5B4A762A6E1,9,
bio_102693,Tu Ma Chieu,A7F5A5EFA45F,3,
bio_10269B,Ke thua quyen luc tuong quan,A581A7A1A6E6A5E2A7FEA6DD,6,
bio_102711,Tu Ma Su,A7F5A5EFA755,3,
bio_10271B,Nam quyen thuc te cua nha Nguoi,A65FA6E6A7A6A772A488A68EA687,7,
bio_10276F,Dien Phong,A4B3A6CF,2,
bio_102775,Lai manh me chu truong khang chien lau dai voi Tao Thao,A5B5A5F9A643A471A7F3A58DA45EA5C1A498A866A768A783,12,
bio_1027E9,Khi biet Thai Muu dinh am sat Luu Bi,A590A3E4A778A65CA4B9A3C6A742A5E9A3DE,9,
bio_102889,Theo lenh Gia Cat Luong pho tro Quan Vu tri Kinh Chau,A78DA5C7A4E5A443A5E7A6CEA7E6A6DCA86BA7E0A5ADA451,12,
bio_1028BD,Gia Cat Luong trong Bieu chinh tac ca nang tai cua Huong Sung,A4E5A443A5E7A7EAA3E5A464A75FA3F4A662A761A488A574A75A,13,
bio_102909,Ton Quyen rat danh gia cam dan va muu luoc cua ong,A7CAA6E5A6EDA4A0A4E6A3FBA49CA84EA65DA5E5A488A6BB,12,
bio_102971,[loi extract],5BA5D9A4D85D,2,
bio_102979,Mot trong nhung than cung co cong diet Tac Khuong,A653A7EAA6A4A77DA48AA481A484A4B5A75EA5A4,10,
bio_1029C9,Tung dich thu voi Luc Kang con cua Luc Ton o Tuong Duong,A7FCA4B1A79FA866A5E1A580A482A488A5E1A7CAA6B6A7FDA4D2,13,
bio_102A55,Khong may thua tran va bi giet,A5A0A642A7A1A7D7A84EA3DFA4F0,7,
bio_102AAD,Tung danh bai Tao Tu khi Tao Phi chinh Ngo,A7FCA4A0A3D1A768A7F5A591A768A6CAA464A67A,10,
bio_102B01,Khi Tao Thao khoi binh danh Dong Trac thi gia nhap phe ong,A590A768A783A59FA3E9A4A0A4C2A7D1A78FA4E6A695A6C9A6BB,13,
bio_102B5D,Ly Nhu,A5ECA69F,2,
bio_102B65,Khi Dong Trac bi giet thi cung bi xu tu,A590A4C2A7D1A3DFA4F0A78FA48AA3DFA885A7F6,10,
bio_102BDF,[loi extract],5BA5D9A4D85D,2,
bio_102BE5,O Mien Truc giao chien voi Hoang Trung ngang tam,A6B5A646A7EDA4EDA45EA866A560A7EFA66FA763,10,
bio_102C51,[loi extract],5BA5D9A4D85D,2,
bio_102C59,Sau trung ke Duong Bieu va Quach Phien chia re,A743A7F0A582A4D2A3E5A84EA6DBA6CBA45AA6EE,10,
bio_102CC9,Duoc Ha Hau Don gioi thieu nen Tao Thao trong dung,A4CFA4FBA54AA4C0A4F2A795A669A768A783A7EAA4CE,11,
bio_102D65,[loi extract],5BA5D9A4D85D,2,
bio_102D70,Sau khi Quan Vu bi bat va chet,A743A591A6DCA86BA3DFA3D9A84EA457,8,
bio_102DCD,[loi extract],5BA5D9A4D85D,2,
bio_102DD5,Van xong pha cuu Ton Quyen va Tu Thanh bi vay,A850A883A6BDA493A7CAA6E5A84EA7F5A781A3DFA857,11,
bio_102E41,[loi extract],5BA5D9A4D85D,2,
bio_102E49,Luc Quan Vu nguy cap lai xui Luu Phong khong cuu,A5E1A6DCA86BA689A442A5B6A88AA5E9A6CFA5A1A493,11,
bio_102EE5,[loi extract],5BA5D9A4D85D,2,
bio_102EED,The Gia Cat Luong quyet dinh nam chinh binh dinh,A789A4E5A443A5E7A6E8A4B9A660A464A3E9A4B9,10,
bio_102F65,Cung Manh Dat muu don Luu Bi vao Thuc,A489A5F8A4A3A65DA4C1A5E9A3DEA854A7A5,9,
bio_102FCB,[loi extract],5BA5D9A4D85D,2,
bio_102FD1,Cuoi cung bi Truong Phi chem chet,A48CA48AA3DFA7F2A6CAA456A457,7,
bio_103051,Vi cha bi Cam Ninh ban chet nen thu han sau sac,A85AA449A3DFA3FAA6A9A3D3A457A669A79FA544A744A6F6,12,
bio_1030F0,Nhung vi cung chu bac phan doi Tao Thao xung Vuong,A6A3A85BA48AA471A3CFA6C3A4BFA768A783A88BA870,11,
bio_10315D,Nen am muu don Luu Bi vao Thuc,A668A3C6A65DA4C1A5E9A3DEA854A7A5,8,
bio_103219,Vi the truoc khi chet Ton Sach co di chuc,A85AA78AA7F1A591A457A7CAA6F7A481A4AFA476,10,
bio_103295,[loi extract],5BA5D9A4D85D,2,
bio_10329D,Trong tran Quan Do phan sang phe Tao Thao,A7E9A7D7A6DCA4BAA6C3A6FDA6C9A768A783,9,
bio_103321,[loi extract],5BA5D9A4D85D,2,
bio_103329,Khi Gia Cat Luong bac phat nha Nguoi,A590A4E5A443A5E7A3CFA6C7A68EA687,8,
bio_103389,Nhung cuoi cung tin loi Duong Tong ban nuoc cau vinh,A6A3A48DA48AA7C0A5D9A4D2A7CCA3D3A6B3A445A863,11,
